age,gender,province,urban_rural,household_income,parent_education,attendance,highest_grade,dropout
18,Male,North West,Urban,8931.49,Secondary,Yes,2,0
15,Female,Western Cape,Urban,-5000.0,Primary,Yes,9,0
5,Female,North West,Rural,4164.1,Secondary,Yes,8,0
18,Female,Northern Cape,Urban,11491.67,Primary,No,7,0
14,Female,Mpumalanga,Rural,13799.41,Secondary,Yes,2,0
19,Male,Free State,Rural,-5000.0,None,Yes,6,0
16,Female,Mpumalanga,Rural,9113.2,Tertiary,Yes,8,0
16,Male,Free State,Rural,6780.31,Primary,Yes,7,0
18,Male,Eastern Cape,Urban,10796.92,Tertiary,Yes,8,0
13,Male,Northern Cape,Rural,3133.36,Tertiary,Yes,4,0
14,Male,Eastern Cape,Rural,14515.75,Secondary,No,5,1
18,Male,KwaZulu-Natal,Urban,1568.42,Secondary,Yes,7,0
14,Female,Free State,Urban,7022.88,Secondary,Yes,2,0
14,Female,Limpopo,Urban,9737.18,Tertiary,Yes,5,0
19,Female,Eastern Cape,Rural,5254.65,Secondary,Yes,7,0
16,Female,KwaZulu-Natal,Rural,4626.39,Secondary,Yes,1,0
15,Male,Gauteng,Urban,8888.94,Secondary,Yes,4,0
19,Female,North West,Urban,8311.04,Tertiary,Yes,2,0
19,Male,Mpumalanga,Urban,8023.75,Secondary,Yes,6,0
14,Female,KwaZulu-Natal,Urban,11434.75,Secondary,Yes,1,0
17,Male,Northern Cape,Rural,6422.11,Secondary,No,2,1
16,Male,Eastern Cape,Urban,9278.37,Tertiary,Yes,3,0
13,Female,Northern Cape,Urban,5973.59,Secondary,Yes,1,0
19,Male,North West,Urban,4602.68,Primary,Yes,8,0
15,Male,Limpopo,Rural,6860.97,Secondary,Yes,7,0
17,Female,Northern Cape,Urban,6004.94,Tertiary,No,9,1
17,Male,Free State,Rural,6204.78,Secondary,Yes,7,0
13,Female,Limpopo,Urban,12661.31,Tertiary,Yes,3,0
19,Female,Limpopo,Urban,6983.59,None,No,5,0
15,Female,KwaZulu-Natal,Urban,,,,8,0
16,Male,Limpopo,Urban,8112.32,Secondary,Yes,5,0
12,Male,Western Cape,Urban,8416.91,Tertiary,Yes,7,0
15,Male,North West,Rural,3252.48,None,Yes,3,0
13,Female,Limpopo,Rural,6806.37,Tertiary,Yes,1,0
17,Male,Northern Cape,Rural,6645.26,Secondary,Yes,1,0
16,Female,Gauteng,Urban,7311.42,Primary,Yes,11,0
15,Female,Western Cape,Rural,10902.11,Primary,Yes,2,0
12,Male,Western Cape,Urban,8546.69,Primary,Yes,8,0
12,Female,Free State,Urban,12911.75,Secondary,Yes,1,0
14,Male,Limpopo,Urban,7953.36,None,Yes,11,0
14,Male,Free State,Urban,15104.35,Primary,Yes,5,0
18,Male,Free State,Rural,6156.9,Tertiary,No,4,0
13,Male,Gauteng,Urban,4921.75,Primary,No,5,1
19,Male,KwaZulu-Natal,Urban,10189.21,Primary,No,8,0
15,Female,Limpopo,Rural,13456.33,Secondary,No,2,1
15,Female,Eastern Cape,Urban,2484.79,Secondary,Yes,11,0
19,Female,Free State,Urban,7212.04,Secondary,Yes,1,0
18,Male,North West,Urban,5556.87,Secondary,Yes,3,0
17,Male,Mpumalanga,Rural,8571.4,Secondary,Yes,6,0
17,Male,North West,Rural,8040.07,Secondary,Yes,9,0
18,Female,Gauteng,Urban,13381.52,Primary,Yes,10,0
17,Male,Gauteng,Urban,7566.38,Primary,Yes,2,0
14,Female,Northern Cape,Urban,13499.14,Secondary,No,1,1
15,Female,KwaZulu-Natal,Rural,6739.6,Primary,Yes,4,0
18,Male,Free State,Urban,11705.93,Secondary,Yes,2,0
15,Male,North West,Urban,8914.65,Secondary,No,7,1
19,Female,Mpumalanga,Urban,,,,6,0
12,Male,Gauteng,Urban,2091.94,Primary,Yes,10,0
14,Female,Gauteng,Urban,3344.57,Primary,Yes,9,0
16,Male,KwaZulu-Natal,Rural,15326.49,Secondary,Yes,8,0
14,Male,Mpumalanga,Urban,5066.94,Secondary,Yes,10,0
18,Female,Mpumalanga,Urban,5320.79,Secondary,Yes,11,0
16,Male,KwaZulu-Natal,Rural,4497.11,Primary,Yes,9,0
12,Female,Gauteng,Rural,12593.78,Secondary,Yes,4,0
18,Male,Limpopo,Urban,2986.17,Tertiary,No,7,0
13,Female,Limpopo,Urban,,,,3,1
15,Female,KwaZulu-Natal,Urban,6937.51,Secondary,Yes,8,0
12,Male,Mpumalanga,Rural,12146.06,Tertiary,Yes,2,0
15,Female,Free State,Urban,5745.27,Primary,No,8,1
17,Male,KwaZulu-Natal,Rural,,,,5,1
13,Male,KwaZulu-Natal,Rural,,,,3,1
13,Male,Western Cape,Urban,-5000.0,Secondary,No,9,1
12,Female,North West,Urban,1000000.0,None,Yes,8,0
13,Female,Mpumalanga,Urban,8035.05,Tertiary,Yes,11,0
16,Male,Northern Cape,Urban,14619.02,Secondary,Yes,5,0
13,Male,Northern Cape,Urban,5653.31,Secondary,Yes,5,0
15,Female,Mpumalanga,Rural,14669.53,Secondary,Yes,3,0
15,Male,Western Cape,Rural,6354.12,Secondary,Yes,5,0
18,Male,Western Cape,Urban,10686.79,Secondary,Yes,4,0
15,Female,Gauteng,Rural,5709.27,Tertiary,Yes,1,0
18,Male,North West,Urban,2575.85,Tertiary,Yes,9,0
15,Female,Limpopo,Urban,9658.38,Secondary,Yes,10,0
16,Male,Eastern Cape,Urban,10559.61,Tertiary,Yes,4,0
19,Female,Eastern Cape,Rural,2736.46,Secondary,Yes,3,0
18,Male,Eastern Cape,Rural,6771.77,Secondary,Yes,6,0
14,Male,Mpumalanga,Rural,12803.04,Secondary,No,4,1
17,Female,Northern Cape,Urban,10400.48,Primary,Yes,5,0
12,Male,Northern Cape,Urban,6419.14,None,Yes,7,0
15,Female,Limpopo,Urban,5609.9,Primary,Yes,2,0
13,Male,Mpumalanga,Urban,15792.98,Secondary,Yes,10,0
19,Female,Eastern Cape,Rural,2212.27,Primary,Yes,9,0
15,Female,Free State,Rural,7763.21,Secondary,Yes,6,0
13,Female,Northern Cape,Rural,2141.21,Tertiary,Yes,2,0
17,Female,Gauteng,Urban,13259.26,Primary,Yes,8,0
17,Male,KwaZulu-Natal,Urban,7971.51,Secondary,Yes,8,0
17,Male,Free State,Urban,8712.7,Primary,No,1,1
13,Female,Northern Cape,Urban,19075.57,None,Yes,1,0
15,Female,Western Cape,Urban,5626.11,Secondary,Yes,1,0
17,Female,Northern Cape,Rural,14994.3,Secondary,Yes,4,0
16,Male,Gauteng,Rural,,,Yes,4,1
18,Male,Eastern Cape,Urban,7065.95,Primary,Yes,8,0
13,Male,Western Cape,Urban,18552.7,Secondary,Yes,1,0
13,Male,Mpumalanga,Urban,7355.64,Primary,Yes,10,0
15,Female,North West,Urban,2502.51,Primary,Yes,3,0
13,Female,Eastern Cape,Rural,9127.68,None,Yes,11,0
13,Female,North West,Urban,7309.05,Primary,Yes,1,0
17,Male,Free State,Urban,9468.38,Primary,Yes,9,0
15,Male,KwaZulu-Natal,Urban,7465.61,Primary,Yes,10,0
17,Male,Western Cape,Rural,16862.18,Tertiary,Yes,9,0
18,Female,Limpopo,Urban,10226.94,Primary,Yes,7,0
19,Female,Western Cape,Urban,3700.14,Primary,Yes,8,0
30,Male,Northern Cape,Urban,,,,1,0
19,Female,Northern Cape,Rural,4801.48,Secondary,Yes,5,0
17,Male,Northern Cape,Rural,7009.14,None,Yes,2,0
18,Male,Free State,Urban,4358.24,Tertiary,Yes,1,0
15,Female,Eastern Cape,Rural,16428.47,Tertiary,No,9,1
12,Male,Limpopo,Rural,5234.46,Primary,Yes,7,0
17,Female,Limpopo,Rural,10750.26,Secondary,Yes,1,0
19,Male,Northern Cape,Rural,6706.08,None,Yes,11,0
16,Female,North West,Rural,3366.35,Secondary,Yes,2,0
19,Female,Free State,Urban,8790.6,Secondary,Yes,2,0
16,Female,Northern Cape,Rural,9602.77,Primary,Yes,4,0
13,Male,KwaZulu-Natal,Urban,10234.51,Primary,Yes,3,0
18,Male,Eastern Cape,Rural,0.0,Secondary,No,2,0
16,Female,Mpumalanga,Urban,,,,5,1
19,Female,KwaZulu-Natal,Rural,11830.22,Primary,Yes,5,0
13,Male,North West,Rural,4305.57,Secondary,Yes,3,0
12,Male,Western Cape,Urban,8811.78,Secondary,Yes,11,0
15,Male,Western Cape,Rural,,,,7,0
15,Female,KwaZulu-Natal,Urban,10926.4,Primary,Yes,5,0
15,Male,Northern Cape,Rural,11725.08,Secondary,No,3,1
16,Male,Mpumalanga,Urban,10927.64,Secondary,Yes,3,0
12,Female,Gauteng,Urban,12130.23,Primary,No,2,1
16,Male,Gauteng,Rural,14255.6,Secondary,Yes,2,0
18,Male,North West,Urban,3303.7,Secondary,No,1,0
16,Male,Northern Cape,Rural,4845.31,Tertiary,Yes,3,0
12,Female,Limpopo,Urban,11590.17,Primary,Yes,11,0
12,Female,Limpopo,Urban,12520.88,Secondary,Yes,2,0
18,Female,Eastern Cape,Urban,5302.63,Primary,Yes,1,0
12,Female,Mpumalanga,Urban,5024.46,Tertiary,Yes,1,0
19,Female,Mpumalanga,Urban,5391.15,Primary,Yes,2,0
12,Female,Western Cape,Urban,1579.62,Tertiary,Yes,9,0
15,Female,Free State,Urban,2914.36,Tertiary,Yes,5,0
19,Male,North West,Urban,3010.83,Primary,No,4,0
19,Male,Gauteng,Rural,6823.61,Tertiary,No,1,0
18,Female,North West,Rural,9083.35,Tertiary,Yes,11,0
14,Male,Limpopo,Urban,9733.89,Primary,Yes,6,0
14,Male,Limpopo,Rural,5965.75,Secondary,Yes,1,0
12,Female,KwaZulu-Natal,Urban,6064.05,Secondary,Yes,10,0
19,Male,Eastern Cape,Rural,8494.65,Primary,Yes,5,0
14,Male,Mpumalanga,Rural,2015.94,None,Yes,1,0
14,Male,North West,Rural,11837.76,Primary,Yes,7,0
12,Male,Limpopo,Urban,13141.54,Primary,No,6,1
14,Male,Free State,Rural,5497.68,Secondary,Yes,11,0
16,Female,Western Cape,Urban,6406.26,Primary,Yes,8,0
13,Female,Gauteng,Rural,12973.25,Tertiary,Yes,8,0
18,Female,Eastern Cape,Urban,7507.79,Secondary,Yes,7,0
13,Male,Free State,Rural,1000000.0,None,Yes,2,0
12,Female,Eastern Cape,Rural,7630.78,Secondary,Yes,5,0
15,Male,KwaZulu-Natal,Rural,14225.23,Secondary,Yes,4,0
18,Male,Limpopo,Urban,9960.32,Tertiary,Yes,5,0
12,Male,Western Cape,Rural,10190.62,None,Yes,10,0
